loc_nombre,loc_cpostal,prv_nombre
Paraje Cobres,4411,Salta
Paraje Cortaderas,4411,Salta
Paraje Esquina De Guardia,4411,Salta
Paraje Las Cuevas,4411,Salta
Paraje Mina Concordia,4411,Salta
Paraje Morro Colorado,4411,Salta
Paraje Nacimientos,4411,Salta
Paraje Olacapato,4413,Salta
Paraje Pastos Grandes,4411,Salta
Paraje Pircas,4411,Salta
Paraje Pizcuno,4411,Salta
Paraje Uncuru,4411,Salta
Paraje Zanjon,4403,Salta
Paramamaya,4430,Salta
Parani,4530,Salta
Paredes,4401,Salta
Pascalla,4651,Salta
Pascha,4405,Salta
Paso De Baderrana,4440,Salta
Paso De La Cruz,4434,Salta
Paso De Las Carretas,4446,Salta
Paso Del Durazno,4440,Salta
Paso Del Rio,4421,Salta
Paso El Milagro San Aniceto,4535,Salta
Paso La Cruz,4446,Salta
Paso Verde,4198,Salta
Pasteadero,4440,Salta
Pastor Sevillosa,4552,Salta
Payogasta,4415,Salta
Payogastilla,4427,Salta
Peñaflor,4423,Salta
Peñalva,4401,Salta
Peñas Azules,4421,Salta
Peñas Blancas,4419,Salta
Pedregal,4423,Salta
Pedro Lozano,4554,Salta
Peru,4440,Salta
Pichanal,4534,Salta
Pie De La Cuesta,4415,Salta
Pie De La Cuesta,4405,Salta
Piedemonte,4403,Salta
Piedra Del Molino,4421,Salta
Piedra Del Potrillo,4530,Salta
Piedras Moradas,4421,Salta
Pinal,4633,Salta
Piquete Cabado,4449,Salta
Piquete De Anta,4448,Salta
Piquete De Anta,4434,Salta
Piquirenda,4564,Salta
Piul,4415,Salta
Pizarro,4534,Salta
Pluma Del Pato,4560,Salta
Pluma Del Pato,4554,Salta
Poblacion,4448,Salta
Poblacion,4446,Salta
Poblacion De Ortega,4444,Salta
Pocitos,4568,Salta
Pocoy,4552,Salta
Pompeya,4415,Salta
Porongal,4535,Salta
Poscaya,4651,Salta
Poso De Algarrobo,4448,Salta
Potrerillo,4446,Salta
Potrerillo,4190,Salta
Potrerillos,4425,Salta
Potrerillos,4126,Salta
Potrerillos,4411,Salta
Potrero,4415,Salta
Potrero,4446,Salta
Potrero,4195,Salta
Potrero De Castilla,4401,Salta
Potrero De Diaz,4423,Salta
Potrero De Linares,4407,Salta
Potrero De Poyogasta,4411,Salta
Potrero De Uriburu,4407,Salta
Pozo Azul,4530,Salta
Pozo Bermejo,4560,Salta
Pozo Blanco,4193,Salta
Pozo Bravo,4554,Salta
Pozo Cantado,4448,Salta
Pozo Cercado,4535,Salta
Pozo Cercado,3636,Salta
Pozo De La Esquina,4530,Salta
Pozo De La Piedra,4530,Salta
Pozo Del Chañar,4554,Salta
Pozo Del Cuico,4554,Salta
Pozo Del Greal,4448,Salta
Pozo Del Pato,4535,Salta
Pozo Del Sauce,4535,Salta
Pozo Del Zorro,4535,Salta
Pozo El Algarrobo,4430,Salta
Pozo Grande,4449,Salta
Pozo Hondo,4554,Salta
Pozo Pringles,4530,Salta
Pozo Verde,4449,Salta
Pozo Verde,4535,Salta
Pozo Verde,4198,Salta
Pozos Largos,4198,Salta
Pringles,4446,Salta
Pucara,4427,Salta
Pucara,4651,Salta
Pueblo Nuevo,4415,Salta
Pueblo Viejo,4417,Salta
Pueblo Viejo,4633,Salta
Pueblo Viejo,4415,Salta
Puente De Diaz,4421,Salta
Puente De Plata,4193,Salta
Puerta Blanca,4448,Salta
Puerta De La Paya,4417,Salta
Puerta De Tastil,4409,Salta
Puerto Baules,4552,Salta
Puerto De Diaz,4430,Salta
Puerto La Paz,4561,Salta
Puesto,4651,Salta
Puesto De La Viuda,4535,Salta
Puesto De Motijo,4530,Salta
Puesto Del Medio,4534,Salta
Puesto Del Pañuelo,4554,Salta
Puesto Grande,4550,Salta
Puesto Viejo,4430,Salta
Puil,4417,Salta
Pulares,4423,Salta
Puli,4446,Salta
Punca Viscana,4651,Salta
Punco Viscana,4651,Salta
Punta De Agua,4415,Salta
Punta Del Agua,4440,Salta
Queñua,4530,Salta
Quebrachal,4448,Salta
Quebrada De Escoipe,4415,Salta
Quebrada Del Agua,4413,Salta
Quebrada Del Toro,4409,Salta
Quebrada Muñano,4409,Salta
Quesera,4434,Salta
Quisca Grande,4141,Salta
Quisca Loro,4421,Salta
Quisto,4430,Salta
Recaredo,4563,Salta
Recreo,4193,Salta
Redondo,4425,Salta
Resistencia,4554,Salta
Retiro,4421,Salta
Rio Alemania,4425,Salta
Rio Ancho,4400,Salta
Rio Ancho,4403,Salta
Rio Blanco,4415,Salta
Rio Carapan,4566,Salta
Rio Colorado,4530,Salta
Rio De Las Piedras,4434,Salta
